timestamp,condo_name,floor_original,floor_zscore,floor_iqr,floor,total_floor_original,total_floor_zscore,total_floor_iqr,total_floor,District,chatuchak,bangna,ramintra,samrong,laksi,phayathai,sukhumvit_42,phasi_charoen,thonburi,samutprakarn_city,bangkokyai,bangkhae,praram_2,bangkhen,suanluang,chomthong,klongsan,room_size_original,room_size_zscore,room_size_iqr,room_size,bts_distance_original,bts_distance_zscore,bts_distance_iqr,bts_distance,parking_car_per_room,fitnest,fitnest_binary,swim_pool,swim_pool_binary,shopping_mall_distance_original,shopping_mall_distance_zscore,shopping_mall_distance_iqr,shopping_mall_distance,toll_distance_original,toll_distance_zscore,toll_distance_iqr,toll_distance,security_system,guard,key_card,cctv,face_scan,common_fee_charge_original,common_fee_charge_zscore,common_fee_charge_iqr,common_fee_charge,bed_room_no_original,bed_room_no_zscore,bed_room_iqr,bed_room,bathroom_no_original,bathroom_no_zscore,bathroom_no_iqr,bathroom_no,total_funiture_price_original,total_funiture_price_zscore,total_funiture_price_iqr,total_funiture_price,owner_name,cost_estimate_original,cost_estimate_zscore,cost_estimate_iqr,cost_estimate,year_built_original,year_built_zscore,year_built_iqr,year_built,price_original,price_zscore,price_iqr,price
2019/04/05 4:10:33 PM GMT+7,Ideo Tha Phra Interchange - ไอดีโอ ท่าพระ อินเตอร์เชนจ์,22,2.383508114,17.5,2.154528908,22,0.39966594,22,0.39966594,บางกอกใหญ่ ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63,2.144839533,47.75,1.881932428,2.1,-0.203131297,2.1,-0.066127039,2,มี,1,มี,1,2,-0.147138061,2,-0.076070128,5.3,-0.350310736,5.3,-0.346535068,รปภ;กล้องวงจรปิด,1,0,1,0,2835,1.850270579,2570,2.11513636,1,-0.343047622,1,0,1,-0.25012216,1,0,6500000,3.559449078,3075000,1.970777191,บริษัท อนันดา ดีเวลลอปเม้นท์ จำกัด (มหาชน),103174,-0.228378785,103174,-0.170057321,2559,0.336169298,2559,0.336169298,6500000,1.818201949,4890000,1.883718465
2019/04/05 8:15:46 PM GMT+7,The Prodigy,11,0.490262063,11,0.725946371,33,1.507137207,33,1.507137207,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.5,0.000410417,34.5,0.249017233,6.7,0.916728189,6.25,1.806902539,1,มี,1,มี,1,1,-0.522084473,1,-0.711592717,6.7,-0.038473433,6.7,-0.020799155,รปภ;คีย์การ์ด,1,1,0,0,1500,0.233481195,1500,0.422240994,1,-0.343047622,1,0,1,-0.25012216,1,0,2900000,1.123094655,2900000,1.799070557,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,83000,-0.414863942,83000,-0.640540715,2558,-0.021688342,2558,-0.021688342,2900000,-0.030490984,2900000,0.197245667
2019/04/05 8:20:45 PM GMT+7,The prodigy,6,-0.370304324,6,-0.372963273,33,1.507137207,33,1.507137207,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,1.24192201,47.75,1.881932428,6.7,0.916728189,6.25,1.806902539,2,มี,1,มี,1,1,-0.522084473,1,-0.711592717,10,0.696571636,10,0.747006927,รปภ;คีย์การ์ด,1,1,0,0,1500,0.233481195,1500,0.422240994,2,1.921066684,1,0,1,-0.25012216,1,0,3978400,1.852918157,3075000,1.970777191,GDT Property - จี ดี ที พร็อพเพอร์ตี้ จำกัด,78780,-0.453872932,78780,-0.738956494,2553,-1.810976543,2553,-1.810976543,3978400,0.523295255,3978400,1.111161378
2019/04/05 8:33:26 PM GMT+7,The Niche Bangkae,8,-0.026077769,8,0.066600584,8,-1.009842947,8,-1.009842947,บางแค,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,-0.563913034,27,-0.675274386,1,-0.470923783,1,-0.56259271,1,มี,1,มี,1,1.5,-0.334611267,1.5,-0.393831423,13,1.364794426,13,1.445012455,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1231,-0.092298838,1231,-0.003356066,1,-0.343047622,1,0,1,-0.25012216,1,0,1500000,0.17562349,1500000,0.425417486,SENA Development,55556,-0.668551791,55556,-1.280569776,2553,-1.810976543,2553,-1.810976543,1500000,-0.749427125,1500000,-0.989217607
2019/04/05 8:39:03 PM GMT+7,The Niche Bangkae,5,-0.542417601,5,-0.592745202,8,-1.009842947,8,-1.009842947,บางแค,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30.5,-0.30056209,30.5,-0.243938297,1,-0.470923783,1,-0.56259271,1,มี,1,มี,1,1.5,-0.334611267,1.5,-0.393831423,13,1.364794426,13,1.445012455,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1390,0.100262594,1390,0.248205022,1,-0.343047622,1,0,1,-0.25012216,1,0,1960000,0.486935444,1960000,0.876760638,SENA Development,64262,-0.58807495,64262,-1.077534759,2553,-1.810976543,2553,-1.810976543,1960000,-0.51320525,1960000,-0.599379674
2019/04/05 8:51:04 PM GMT+7,Fuse Sense Bangkae,11,0.490262063,11,0.725946371,24,0.601024352,24,0.601024352,บางแค,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,-0.789642415,24,-1.044991034,9.8,1.671416104,6.25,1.806902539,1,มี,1,มี,1,1.7,-0.259621985,1.7,-0.266726905,12.6,1.275698054,12.6,1.351945051,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1200,-0.129842262,1200,-0.052402567,1,-0.343047622,1,0,1,-0.25012216,1,0,1290000,0.033502816,1290000,0.219369526,Pruksa Real Estate,129000,0.010352537,129000,0.432237917,2558,-0.021688342,2558,-0.021688342,1290000,-0.857267546,1290000,-1.167187098
2019/04/05 10:32:11 PM GMT+7,Ease ,7,-0.198191047,7,-0.153181344,18,-0.003050885,18,-0.003050885,พระราม 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,-0.563913034,27,-0.675274386,20,4.154582791,6.25,1.806902539,1000,มี,1,มี,1,0.8,-0.597073755,0.8,-0.838697235,6.4,-0.105295712,6.4,-0.090599707,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,4000,3.261176671,2570,2.11513636,1,-0.343047622,1,0,1,-0.25012216,1,0,70000,-0.792150627,70000,-0.977671008,LH,666666,4.980449129,198000,2.041405866,2562,1.409742219,2562,1.409742219,1800000,-0.595369381,1800000,-0.734975477
2019/04/06 1:47:36 AM GMT+7,The lake metro park,1,-1.230870711,1,-1.471872917,8,-1.009842947,8,-1.009842947,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,-0.037211146,34,0.187397792,2,-0.227476069,2,-0.111260282,1,มี,1,มี,1,3,0.22780835,3,0.559452461,8,0.251089776,8,0.281669908,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1200,-0.129842262,1200,-0.052402567,1,-0.343047622,1,0,1,-0.25012216,1,0,200000,-0.704171162,200000,-0.850117508,PF,120000,-0.072841992,120000,0.222346446,2559,0.336169298,2559,0.336169298,1800000,-0.595369381,1800000,-0.734975477
2019/04/06 2:18:36 AM GMT+7,เดอะ คีย์ MRT เพชรเกษม 48,7,-0.198191047,7,-0.153181344,30,1.205099589,30,1.205099589,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.8,-0.503718533,27.8,-0.57668328,1.3,-0.397889469,1.3,-0.427192982,0.46,มี,1,มี,1,1.5,-0.334611267,1.5,-0.393831423,10.2,0.741119822,10.2,0.793540629,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,55,-1.51652679,55,-1.863958823,1,-0.343047622,1,0,1,-0.25012216,1,0,400000,-0.568818139,400000,-0.653881355,แลนด์แอนด์เฮ้าส์,103900,-0.221667759,103900,-0.153126076,2561,1.051884579,2561,1.051884579,2890000,-0.035626242,2890000,0.18877093
2019/04/06 2:28:33 AM GMT+7,MAXXI Ratchayothin ึ Phahol 34,3,-0.886644156,3,-1.03230906,8,-1.009842947,8,-1.009842947,จตุจักร,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-0.940128669,22,-1.2914688,1.1,-0.446579012,1.1,-0.517459468,79,มี,1,มี,1,3.8,0.527765479,3.8,1.067870532,4.8,-0.461681201,4.8,-0.462869323,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1100,-0.250950081,1100,-0.210617087,3,4.185180991,1,0,1,-0.25012216,1,0,1240495.652,-9.4543E-16,1240495.652,0.170796812,บริษัท แม็กซิมัส เอสเตท จำกัด ร่วมกับ บจก.อาร์เคพลัส เอสเตท จำกัด,79090,-0.451007343,79090,-0.731726899,2561,1.051884579,2561,1.051884579,1740000,-0.62618093,1740000,-0.785823903
2019/04/06 2:39:41 AM GMT+7,MAGNIX Ramintra 21,4,-0.714530879,4,-0.812527131,8,-1.009842947,8,-1.009842947,บางเขน ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,-0.864885542,23,-1.168229917,0.3,-0.641337183,0.3,-0.87852541,29,มี,1,มี,1,1.5,-0.334611267,1.5,-0.393831423,5.4,-0.328036643,5.4,-0.323268217,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1035,-0.329670163,1035,-0.313456525,1,-0.343047622,1,0,1,-0.25012216,1,0,1240495.652,-9.4543E-16,1240495.652,0.170796812,บริษัท เดอะ รอยัล เรสซิเดนซ์ จำกัด,73600,-0.501756005,73600,-0.859760697,2562,1.409742219,2562,1.409742219,1590000,-0.703209802,1590000,-0.912944968
2019/04/06 2:47:17 AM GMT+7,ชีวาทัย เพชรเกษม 27 ,10,0.318148785,10,0.506164442,26,0.802382764,26,0.802382764,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,-0.864885542,23,-1.168229917,0.3,-0.641337183,0.3,-0.87852541,246,มี,1,มี,1,0.1,-0.859536243,0.1,-1.283563047,14.7,1.743454007,14.7,1.840548921,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,805,-0.608218147,805,-0.677349922,1,-0.343047622,1,0,1,-0.25012216,1,0,1240495.652,-9.4543E-16,1240495.652,0.170796812,บริษัท ชีวาทัย จำกัด (มหาชน),85000,-0.396376269,85000,-0.593898166,2559,0.336169298,2559,0.336169298,2200000,-0.389959055,2200000,-0.39598597
2019/04/06 2:53:05 AM GMT+7,แอสปาย สุขุมวิท-อ่อนนุช,3,-0.886644156,3,-1.03230906,8,-1.009842947,8,-1.009842947,สวนหลวง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.5,-0.601534598,26.5,-0.736893828,2.3,-0.154441755,2.3,0.024139447,206,มี,1,มี,1,0.9,-0.559579114,0.9,-0.775144976,5.1,-0.394858922,5.1,-0.39306877,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,1511,0.246803055,1511,0.439644591,1,-0.343047622,1,0,1,-0.25012216,1,0,1240495.652,-9.4543E-16,1240495.652,0.170796812,AP Thailand,86000,-0.387132433,86000,-0.570576891,2562,1.409742219,2562,1.409742219,1890000,-0.549152057,1890000,-0.658702838
2019/04/10 2:50:47 PM GMT+7,Present Condo,3,-0.886644156,3,-1.03230906,8,-1.009842947,8,-1.009842947,ธนบุรี,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,-0.1876974,32,-0.059079973,4.2,0.308108903,4.2,0.881671061,ไม่ระบุ,มี,1,มี,1,2.1,-0.10964342,2.1,-0.012517869,7,0.028348846,7,0.049001398,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,550,-0.917043085,550,-1.080796948,1,-0.343047622,1,0,1,-0.25012216,1,0,100000,-0.771847674,100000,-0.948235585,บริษัท พรีบิลท์ จำกัด (มหาชน),90000,-0.350157087,90000,-0.477291793,2559,0.336169298,2559,0.336169298,1390000,-0.805914965,1390000,-1.082439722
2019/04/10 2:52:44 PM GMT+7,PE-LA วุฒากาศ,9,0.146035508,9,0.286382513,21,0.298986733,21,0.298986733,จอมทอง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.5,1.956731715,47.75,1.881932428,0.1,-0.690026726,0.1,-0.968791896,0.47,มี,1,มี,1,1.3,-0.40960055,1.3,-0.52093594,6.5,-0.083021619,6.5,-0.067332857,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,540,-0.929153867,540,-1.0966184,2,1.921066684,1,0,2,3.876893477,1,0,100000,-0.771847674,100000,-0.948235585,บริษัท ชนันธร ดีเวลลอปเม้นท์ กรุ๊ป จำกัด,85000,-0.396376269,85000,-0.593898166,2559,0.336169298,2559,0.336169298,2300000,-0.338606473,2300000,-0.311238593
2019/04/10 2:54:39 PM GMT+7,NYE By Sansiri,10,0.318148785,10,0.506164442,30,1.205099589,30,1.205099589,คลองสาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0.03803198,35,0.310636674,0.035,-0.705850828,0.035,-0.998128504,0.52,มี,1,มี,1,1.5,-0.334611267,1.5,-0.393831423,2.6,-0.951711247,2.6,-0.974740043,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,550,-0.917043085,550,-1.080796948,1,-0.343047622,1,0,1,-0.25012216,1,0,100000,-0.771847674,100000,-0.948235585,บริษัท แสนสิริ จำกัด (มหาชน),145000,0.158253921,145000,0.805378311,2559,0.336169298,2559,0.336169298,3300000,0.174919342,3300000,0.536235174
2019/04/10 2:56:41 PM GMT+7,นิช ไอดี พระราม 2- ดาวคะนอง,5,-0.542417601,5,-0.592745202,8,-1.009842947,8,-1.009842947,จอมทอง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,-0.488669908,28,-0.552035504,7,0.989762503,6.25,1.806902539,0.48,มี,1,มี,1,5,0.977701173,5,1.830497639,1,-1.308096735,1,-1.347009659,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,550,-0.917043085,550,-1.080796948,1,-0.343047622,1,0,1,-0.25012216,1,0,1240495.652,-9.4543E-16,1240495.652,0.170796812,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),100000,-0.257718722,100000,-0.244079047,2558,-0.021688342,2558,-0.021688342,1620000,-0.687804027,1620000,-0.887520755
2019/04/10 2:58:39 PM GMT+7,แอสปาย สาทร-ตากสิน (คอปเปอร์ โซน),5,-0.542417601,5,-0.592745202,21,0.298986733,21,0.298986733,ภาษีเจริญ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,-0.639156161,26,-0.798513269,0.55,-0.580475255,0.55,-0.765692303,0.35,มี,1,มี,1,3,0.22780835,3,0.559452461,7.7,0.184267497,7.7,0.211869355,รปภ;คีย์การ์ด;กล้องวงจรปิด,1,1,1,0,390,-1.110815596,390,-1.33394018,1,-0.343047622,1,0,1,-0.25012216,1,0,150000,-0.738009418,150000,-0.899176546,บริษัท เอพี (ไทยแลนด์) จำกัด (มหาชน),175000,0.435569015,175000,1.505016549,2558,-0.021688342,2558,-0.021688342,1990000,-0.497799476,1990000,-0.573955461
